year,practice,n_cells,unweighted_mean_LR,liab_weighted_LR,pooled_LR
2015,conventional,14517,0.903,0.679,0.645
2015,organic,1794,1.582,1.225,1.223
2016,conventional,14319,0.756,0.396,0.416
2016,organic,1982,1.152,1.005,1.191
2017,conventional,14278,0.791,0.496,0.532
2017,organic,2046,1.344,1.373,1.604
2018,conventional,14240,1.002,0.712,0.735
2018,organic,2170,1.676,1.259,1.407
2019,conventional,14534,1.158,1.022,1.038
2019,organic,2279,2.295,1.754,1.771
2020,conventional,14705,0.941,0.881,0.877
2020,organic,2393,1.853,1.715,1.816
2021,conventional,15298,0.946,0.596,0.672
2021,organic,2403,1.894,1.844,1.807
2022,conventional,15747,1.071,0.909,1.027
2022,organic,2379,2.067,2.712,2.389
2023,conventional,16050,0.897,0.837,0.845
2023,organic,2422,1.72,1.735,1.812
2024,conventional,7223,0.074,0.113,0.065
2024,organic,560,0.01,0.007,0.01
