fips,cty_name,st,liab,ind,org_liab,org_ind,org_share
41035,Klamath,41,404738290.0,106301111.0,130573833.0,56176616.0,0.3226
06093,Siskiyou,06,353435199.0,77144666.0,99424948.0,33255001.0,0.2813
06061,Placer,06,160539445.0,23101121.0,42138529.0,5021124.0,0.2625
46121,Todd,46,143566116.0,14115675.0,34072644.0,4446455.0,0.2373
48285,Lavaca,48,52171268.0,5838921.0,11201666.0,1386017.0,0.2147
49037,San Juan,49,95918865.0,23728134.0,17672832.0,3043908.0,0.1842
08029,Delta,08,96977765.0,17176539.0,15944052.0,3370560.0,0.1644
53025,Grant,53,9276798785.0,365560245.0,1440494776.0,69879332.0,0.1553
36029,Erie,36,135616751.0,12547415.0,21026046.0,3370459.0,0.155
48245,Jefferson,48,158797530.0,55796101.0,24027471.0,7723639.0,0.1513
