fips,frr,ers_region
01001,6,Southern Seaboard
01003,6,Southern Seaboard
01005,6,Southern Seaboard
01007,5,Eastern Uplands
01009,5,Eastern Uplands
01011,6,Southern Seaboard
01013,6,Southern Seaboard
01015,5,Eastern Uplands
01017,6,Southern Seaboard
01019,5,Eastern Uplands
01021,5,Eastern Uplands
01023,6,Southern Seaboard
01025,6,Southern Seaboard
01027,6,Southern Seaboard
01029,5,Eastern Uplands
01031,6,Southern Seaboard
01033,6,Southern Seaboard
01035,6,Southern Seaboard
01037,6,Southern Seaboard
01039,6,Southern Seaboard
01041,6,Southern Seaboard
01043,5,Eastern Uplands
01045,6,Southern Seaboard
01047,6,Southern Seaboard
01049,5,Eastern Uplands
01051,6,Southern Seaboard
01053,6,Southern Seaboard
01055,5,Eastern Uplands
01057,6,Southern Seaboard
01059,6,Southern Seaboard
01061,6,Southern Seaboard
01063,6,Southern Seaboard
01065,6,Southern Seaboard
01067,6,Southern Seaboard
01069,6,Southern Seaboard
01071,5,Eastern Uplands
01073,5,Eastern Uplands
01075,6,Southern Seaboard
01077,5,Eastern Uplands
01079,5,Eastern Uplands
01081,6,Southern Seaboard
01083,5,Eastern Uplands
01085,6,Southern Seaboard
01087,6,Southern Seaboard
01089,5,Eastern Uplands
01091,6,Southern Seaboard
01093,6,Southern Seaboard
01095,5,Eastern Uplands
01097,6,Southern Seaboard
01099,6,Southern Seaboard
01101,6,Southern Seaboard
01103,5,Eastern Uplands
01105,6,Southern Seaboard
01107,6,Southern Seaboard
01109,6,Southern Seaboard
01111,6,Southern Seaboard
01113,6,Southern Seaboard
01115,5,Eastern Uplands
01117,5,Eastern Uplands
01119,6,Southern Seaboard
01121,6,Southern Seaboard
01123,6,Southern Seaboard
01125,6,Southern Seaboard
01127,5,Eastern Uplands
01129,6,Southern Seaboard
01131,6,Southern Seaboard
01133,5,Eastern Uplands
04001,8,Basin and Range
04003,7,Fruitful Rim
04005,7,Fruitful Rim
04007,7,Fruitful Rim
04009,7,Fruitful Rim
04011,8,Basin and Range
04012,7,Fruitful Rim
04013,7,Fruitful Rim
04015,8,Basin and Range
04017,7,Fruitful Rim
04019,7,Fruitful Rim
04021,7,Fruitful Rim
04023,7,Fruitful Rim
04025,8,Basin and Range
04027,7,Fruitful Rim
05001,9,Mississippi Portal
05003,9,Mississippi Portal
05005,5,Eastern Uplands
05007,5,Eastern Uplands
05009,5,Eastern Uplands
05011,6,Southern Seaboard
05013,6,Southern Seaboard
05015,5,Eastern Uplands
05017,9,Mississippi Portal
05019,6,Southern Seaboard
05021,9,Mississippi Portal
05023,5,Eastern Uplands
05025,6,Southern Seaboard
05027,6,Southern Seaboard
05029,5,Eastern Uplands
05031,9,Mississippi Portal
05033,5,Eastern Uplands
05035,9,Mississippi Portal
05037,9,Mississippi Portal
05039,6,Southern Seaboard
05041,9,Mississippi Portal
05043,9,Mississippi Portal
05045,5,Eastern Uplands
05047,5,Eastern Uplands
05049,5,Eastern Uplands
05051,5,Eastern Uplands
05053,5,Eastern Uplands
05055,9,Mississippi Portal
05057,5,Eastern Uplands
05059,5,Eastern Uplands
05061,5,Eastern Uplands
05063,9,Mississippi Portal
05065,5,Eastern Uplands
05067,9,Mississippi Portal
05069,9,Mississippi Portal
05071,5,Eastern Uplands
05073,5,Eastern Uplands
05075,9,Mississippi Portal
05077,9,Mississippi Portal
05079,9,Mississippi Portal
05081,5,Eastern Uplands
05083,5,Eastern Uplands
05085,9,Mississippi Portal
05087,5,Eastern Uplands
05089,5,Eastern Uplands
05091,5,Eastern Uplands
05093,9,Mississippi Portal
05095,9,Mississippi Portal
05097,5,Eastern Uplands
05099,6,Southern Seaboard
05101,5,Eastern Uplands
05103,6,Southern Seaboard
05105,5,Eastern Uplands
05107,9,Mississippi Portal
05109,5,Eastern Uplands
05111,9,Mississippi Portal
05113,5,Eastern Uplands
05115,5,Eastern Uplands
05117,9,Mississippi Portal
05119,5,Eastern Uplands
05121,9,Mississippi Portal
05123,9,Mississippi Portal
05125,5,Eastern Uplands
05127,5,Eastern Uplands
05129,5,Eastern Uplands
05131,5,Eastern Uplands
05133,5,Eastern Uplands
05135,5,Eastern Uplands
05137,5,Eastern Uplands
05139,6,Southern Seaboard
05141,5,Eastern Uplands
05143,5,Eastern Uplands
05145,9,Mississippi Portal
05147,9,Mississippi Portal
05149,5,Eastern Uplands
06001,7,Fruitful Rim
06003,8,Basin and Range
06005,8,Basin and Range
06007,7,Fruitful Rim
06009,8,Basin and Range
06011,7,Fruitful Rim
06013,7,Fruitful Rim
06015,8,Basin and Range
06017,8,Basin and Range
06019,7,Fruitful Rim
06021,7,Fruitful Rim
06023,8,Basin and Range
06025,7,Fruitful Rim
06027,8,Basin and Range
06029,7,Fruitful Rim
06031,7,Fruitful Rim
06033,7,Fruitful Rim
06035,8,Basin and Range
06037,7,Fruitful Rim
06039,7,Fruitful Rim
06041,7,Fruitful Rim
06043,8,Basin and Range
06045,8,Basin and Range
06047,7,Fruitful Rim
06049,8,Basin and Range
06051,8,Basin and Range
06053,7,Fruitful Rim
06055,7,Fruitful Rim
06057,8,Basin and Range
06059,7,Fruitful Rim
06061,8,Basin and Range
06063,8,Basin and Range
06065,7,Fruitful Rim
06067,7,Fruitful Rim
06069,7,Fruitful Rim
06071,7,Fruitful Rim
06073,7,Fruitful Rim
06075,7,Fruitful Rim
06077,7,Fruitful Rim
06079,7,Fruitful Rim
06081,7,Fruitful Rim
06083,7,Fruitful Rim
06085,7,Fruitful Rim
06087,7,Fruitful Rim
06089,8,Basin and Range
06091,8,Basin and Range
06093,8,Basin and Range
06095,7,Fruitful Rim
06097,7,Fruitful Rim
06099,7,Fruitful Rim
06101,7,Fruitful Rim
06103,7,Fruitful Rim
06105,8,Basin and Range
06107,7,Fruitful Rim
06109,8,Basin and Range
06111,7,Fruitful Rim
06113,7,Fruitful Rim
06115,7,Fruitful Rim
08001,4,Prairie Gateway
08003,8,Basin and Range
08005,4,Prairie Gateway
08007,8,Basin and Range
08009,4,Prairie Gateway
08011,4,Prairie Gateway
08013,3,Northern Great Plains
08015,8,Basin and Range
08017,4,Prairie Gateway
08019,8,Basin and Range
08021,8,Basin and Range
08023,8,Basin and Range
08025,4,Prairie Gateway
08027,4,Prairie Gateway
08029,8,Basin and Range
08031,4,Prairie Gateway
08033,8,Basin and Range
08035,4,Prairie Gateway
08037,8,Basin and Range
08039,4,Prairie Gateway
08041,4,Prairie Gateway
08043,4,Prairie Gateway
08045,8,Basin and Range
08047,8,Basin and Range
08049,8,Basin and Range
08051,8,Basin and Range
08053,8,Basin and Range
08055,4,Prairie Gateway
08057,8,Basin and Range
08059,3,Northern Great Plains
08061,4,Prairie Gateway
08063,4,Prairie Gateway
08065,8,Basin and Range
08067,8,Basin and Range
08069,3,Northern Great Plains
08071,4,Prairie Gateway
08073,4,Prairie Gateway
08075,3,Northern Great Plains
08077,8,Basin and Range
08079,8,Basin and Range
08081,8,Basin and Range
08083,8,Basin and Range
08085,8,Basin and Range
08087,3,Northern Great Plains
08089,4,Prairie Gateway
08091,8,Basin and Range
08093,8,Basin and Range
08095,4,Prairie Gateway
08097,8,Basin and Range
08099,4,Prairie Gateway
08101,4,Prairie Gateway
08103,8,Basin and Range
08105,8,Basin and Range
08107,8,Basin and Range
08109,8,Basin and Range
08111,8,Basin and Range
08113,8,Basin and Range
08115,3,Northern Great Plains
08117,8,Basin and Range
08119,8,Basin and Range
08121,4,Prairie Gateway
08123,3,Northern Great Plains
08125,4,Prairie Gateway
09001,2,Northern Crescent
09003,2,Northern Crescent
09005,2,Northern Crescent
09007,2,Northern Crescent
09009,2,Northern Crescent
09011,2,Northern Crescent
09013,2,Northern Crescent
09015,2,Northern Crescent
10001,6,Southern Seaboard
10003,6,Southern Seaboard
10005,6,Southern Seaboard
11001,6,Southern Seaboard
12001,7,Fruitful Rim
12003,7,Fruitful Rim
12005,7,Fruitful Rim
12007,7,Fruitful Rim
12009,7,Fruitful Rim
12011,7,Fruitful Rim
12013,7,Fruitful Rim
12015,7,Fruitful Rim
12017,7,Fruitful Rim
12019,7,Fruitful Rim
12021,7,Fruitful Rim
12023,7,Fruitful Rim
12025,7,Fruitful Rim
12027,7,Fruitful Rim
12029,7,Fruitful Rim
12031,7,Fruitful Rim
12033,7,Fruitful Rim
12035,7,Fruitful Rim
12037,7,Fruitful Rim
12039,7,Fruitful Rim
12041,7,Fruitful Rim
12043,7,Fruitful Rim
12045,7,Fruitful Rim
12047,7,Fruitful Rim
12049,7,Fruitful Rim
12051,7,Fruitful Rim
12053,7,Fruitful Rim
12055,7,Fruitful Rim
12057,7,Fruitful Rim
12059,7,Fruitful Rim
12061,7,Fruitful Rim
12063,7,Fruitful Rim
12065,7,Fruitful Rim
12067,7,Fruitful Rim
12069,7,Fruitful Rim
12071,7,Fruitful Rim
12073,7,Fruitful Rim
12075,7,Fruitful Rim
12077,7,Fruitful Rim
12079,7,Fruitful Rim
12081,7,Fruitful Rim
12083,7,Fruitful Rim
12085,7,Fruitful Rim
12087,7,Fruitful Rim
12089,7,Fruitful Rim
12091,7,Fruitful Rim
12093,7,Fruitful Rim
12095,7,Fruitful Rim
12097,7,Fruitful Rim
12099,7,Fruitful Rim
12101,7,Fruitful Rim
12103,7,Fruitful Rim
12105,7,Fruitful Rim
12107,7,Fruitful Rim
12109,7,Fruitful Rim
12111,7,Fruitful Rim
12113,7,Fruitful Rim
12115,7,Fruitful Rim
12117,7,Fruitful Rim
12119,7,Fruitful Rim
12121,7,Fruitful Rim
12123,7,Fruitful Rim
12125,7,Fruitful Rim
12127,7,Fruitful Rim
12129,7,Fruitful Rim
12131,7,Fruitful Rim
12133,7,Fruitful Rim
13001,7,Fruitful Rim
13003,6,Southern Seaboard
13005,7,Fruitful Rim
13007,6,Southern Seaboard
13009,6,Southern Seaboard
13011,6,Southern Seaboard
13013,6,Southern Seaboard
13015,5,Eastern Uplands
13017,6,Southern Seaboard
13019,6,Southern Seaboard
13021,6,Southern Seaboard
13023,6,Southern Seaboard
13025,7,Fruitful Rim
