panel,group,cov_level,loss_cost,indemnity,liability,acres
ALL crops,conventional,0.5,0.01982,734076250.0,37037210216.0,35791636.0
ALL crops,conventional,0.55,0.06557,191376187.0,2918778974.0,3502865.0
ALL crops,conventional,0.6,0.08492,1751304464.0,20622870782.0,25712078.0
ALL crops,conventional,0.65,0.06802,2112079746.0,31049874248.0,46028953.0
ALL crops,conventional,0.7,0.09568,7752304991.0,81021208121.0,165263115.0
ALL crops,conventional,0.75,0.07957,12730061279.0,159993307257.0,299382255.0
ALL crops,conventional,0.8,0.05782,9509493692.0,164463572304.0,270229404.0
ALL crops,conventional,0.85,0.06321,8126212512.0,128556833474.0,185447052.0
ALL crops,conventional,0.9,0.02846,14551644.0,511249824.0,626039.0
ALL crops,certified organic,0.5,0.02077,71133932.0,3424249325.0,1472495.0
ALL crops,certified organic,0.55,0.05487,6555076.0,119470284.0,54300.0
ALL crops,certified organic,0.6,0.06151,55602557.0,903890908.0,553160.0
ALL crops,certified organic,0.65,0.08289,94515857.0,1140248391.0,902871.0
ALL crops,certified organic,0.7,0.1523,285429034.0,1874184544.0,2089867.0
ALL crops,certified organic,0.75,0.1665,550813175.0,3308246636.0,3045758.0
ALL crops,certified organic,0.8,0.21494,342546294.0,1593711099.0,1788200.0
ALL crops,certified organic,0.85,0.27439,365070356.0,1330482933.0,1125949.0
ALL crops,certified organic,0.9,0.00605,85321.0,14103196.0,14234.0
ALL crops,transitional organic,0.5,0.0208,3185021.0,153111165.0,102304.0
ALL crops,transitional organic,0.55,0.04798,243230.0,5069161.0,6222.0
ALL crops,transitional organic,0.6,0.05986,2812330.0,46985060.0,35300.0
ALL crops,transitional organic,0.65,0.0461,4133110.0,89653708.0,59780.0
ALL crops,transitional organic,0.7,0.15308,10241477.0,66903229.0,128348.0
ALL crops,transitional organic,0.75,0.15409,18992609.0,123254261.0,212183.0
ALL crops,transitional organic,0.8,0.17417,10634142.0,61056419.0,135325.0
ALL crops,transitional organic,0.85,0.22557,12257229.0,54337999.0,102875.0
ALL crops,transitional organic,0.9,0.03544,67427.0,1902457.0,2334.0
Corn,conventional,0.5,0.02126,67036108.0,3152533373.0,8304994.0
Corn,conventional,0.55,0.03184,13760109.0,432216515.0,1002946.0
Corn,conventional,0.6,0.04307,116676991.0,2709025795.0,5520849.0
Corn,conventional,0.65,0.05161,401840011.0,7786335721.0,14990783.0
Corn,conventional,0.7,0.06906,2367411100.0,34278607103.0,63884339.0
Corn,conventional,0.75,0.0729,6473077177.0,88799304306.0,149087062.0
Corn,conventional,0.8,0.0594,6968139549.0,117310943258.0,170462679.0
