scope,group,records,total_indemnity,total_acres,loss_per_acre
ALL YEARS,conventional,476267,42921460765.0,1031983397.0,41.5912
ALL YEARS,certified organic,69612,1771751602.0,11046834.0,160.3855
ALL YEARS,transitional organic,7733,62566575.0,784671.0,79.7361
2006,conventional,169,7692115.0,441165.0,17.4359
2006,certified organic,44,415802.0,12321.0,33.7474
2006,transitional organic,6,28732.0,774.0,37.1214
2007,conventional,169,3977988.0,428406.0,9.2856
2007,certified organic,57,201562.0,17238.0,11.6929
2007,transitional organic,23,81777.0,2566.0,31.8694
2008,conventional,222,2517032.0,501248.0,5.0215
2008,certified organic,68,271024.0,17837.0,15.1945
2008,transitional organic,14,28663.0,2880.0,9.9524
2009,conventional,262,6594669.0,645676.0,10.2136
2009,certified organic,65,257216.0,16496.0,15.5926
2009,transitional organic,14,52595.0,3264.0,16.1137
2010,conventional,265,4285244.0,568063.0,7.5436
2010,certified organic,79,140930.0,21641.0,6.5122
2010,transitional organic,18,121880.0,2526.0,48.2502
2011,conventional,23271,1817398161.0,51289211.0,35.4343
2011,certified organic,2925,36438534.0,374830.0,97.2135
2011,transitional organic,276,1721103.0,21493.0,80.0774
2012,conventional,25599,4937059530.0,57550031.0,85.7873
2012,certified organic,3233,46292703.0,419094.0,110.459
2012,transitional organic,260,1526563.0,19024.0,80.2441
2013,conventional,26546,4456089625.0,63172002.0,70.539
2013,certified organic,3451,60195230.0,452214.0,133.1123
2013,transitional organic,276,2115649.0,21502.0,98.3931
2014,conventional,27982,3728036185.0,66497888.0,56.0625
2014,certified organic,3725,60121299.0,477411.0,125.932
2014,transitional organic,315,2895978.0,28603.0,101.2474
2015,conventional,32117,1433473308.0,72042477.0,19.8976
2015,certified organic,4234,51143408.0,567654.0,90.0961
2015,transitional organic,414,1631342.0,39385.0,41.4204
2016,conventional,35194,883313216.0,77434481.0,11.4072
2016,certified organic,4679,60877735.0,656520.0,92.7279
2016,transitional organic,641,6229890.0,80536.0,77.3553
2017,conventional,36204,1434320971.0,78815080.0,18.1986
2017,certified organic,5086,102974108.0,762399.0,135.0659
2017,transitional organic,706,4213075.0,73845.0,57.0529
2018,conventional,38698,2085777313.0,83126958.0,25.0915
2018,certified organic,5502,99649027.0,861837.0,115.624
2018,transitional organic,741,4181450.0,72007.0,58.07
2019,conventional,40630,3821635763.0,87461562.0,43.695
2019,certified organic,5900,146006062.0,983168.0,148.5057
2019,transitional organic,782,6807285.0,82058.0,82.957
2020,conventional,42602,2968632073.0,91516834.0,32.4381
2020,certified organic,6364,178113075.0,1127756.0,157.9358
2020,transitional organic,823,5505734.0,90248.0,61.0067
2021,conventional,44344,2558877097.0,93846259.0,27.2667
2021,certified organic,6614,222901052.0,1196770.0,186.2522
2021,transitional organic,726,7046354.0,83473.0,84.4148
2022,conventional,40913,6725624528.0,95283035.0,70.5858
2022,certified organic,6598,382108803.0,1270626.0,300.7248
2022,transitional organic,658,11092073.0,67677.0,163.8972
2023,conventional,42459,6029463623.0,97719526.0,61.7017
2023,certified organic,7035,321717709.0,1335882.0,240.8279
2023,transitional organic,609,7175435.0,61298.0,117.0582
2024,conventional,8739,3641737.0,6494872.0,0.5607
2024,certified organic,1842,357181.0,212877.0,1.6779
2024,transitional organic,215,110997.0,13106.0,8.4692
2025,conventional,9882,13050587.0,7148623.0,1.8256
2025,certified organic,2111,1569142.0,262263.0,5.9831
2025,transitional organic,216,0.0,18406.0,0.0
