year,state,fips,county,plan_code,plan,cov_level,subtype,org_records,conv_records,org_loss_per_acre,conv_loss_per_acre,ratio_org_over_conv,org_indemnity,org_acres,conv_indemnity,conv_acres
2006,AR,05043,Drew,90,APH,0.5,certified organic,1,1,0.0,0.0,,0.0,357.0,0.0,5401.0
2006,AR,05063,Independence,90,APH,0.5,transitional organic,1,1,0.0,0.0,,0.0,108.0,0.0,7047.0
2006,CA,06007,Butte,44,CRC,0.85,certified organic,2,2,0.0,197.05,0.0,0.0,971.0,197642.0,1003.0
2006,CA,06007,Butte,90,APH,0.5,certified organic,1,3,0.0,2.06,0.0,0.0,75.0,95331.0,46199.0
2006,CA,06007,Butte,90,APH,0.7,certified organic,1,2,0.0,18.94,0.0,0.0,58.0,306196.0,16169.0
2006,CA,06007,Butte,90,APH,0.75,certified organic,1,2,0.0,22.86,0.0,0.0,75.0,216286.0,9463.0
2006,CA,06007,Butte,90,APH,0.8,certified organic,1,2,0.0,0.0,,0.0,42.0,0.0,2623.0
2006,CA,06007,Butte,90,APH,0.85,certified organic,1,1,0.0,92.58,0.0,0.0,126.0,105169.0,1136.0
2006,CA,06011,Colusa,44,CRC,0.85,certified organic,1,1,37.52,262.42,0.143,3902.0,104.0,120452.0,459.0
2006,CA,06011,Colusa,90,APH,0.5,certified organic,3,3,10.15,1.04,9.801,8006.0,789.0,71044.0,68618.0
2006,CA,06011,Colusa,90,APH,0.5,transitional organic,1,3,0.0,1.04,0.0,0.0,68.0,71044.0,68618.0
2006,CA,06011,Colusa,90,APH,0.7,certified organic,1,2,0.0,39.51,0.0,0.0,167.0,79061.0,2001.0
2006,CA,06011,Colusa,90,APH,0.75,certified organic,1,2,0.0,44.54,0.0,0.0,81.0,625432.0,14042.0
2006,CA,06021,Glenn,90,APH,0.5,certified organic,2,3,0.0,0.61,0.0,0.0,747.0,33645.0,54974.0
2006,CA,06021,Glenn,90,APH,0.7,certified organic,1,2,0.0,11.16,0.0,0.0,27.0,45635.0,4090.0
2006,CA,06061,Placer,44,CRC,0.85,certified organic,2,2,89.24,351.26,0.254,200785.0,2250.0,116266.0,331.0
2006,CA,06061,Placer,90,APH,0.65,certified organic,1,2,0.0,111.52,0.0,0.0,34.0,41486.0,372.0
2006,CA,06101,Sutter,44,CRC,0.85,certified organic,2,2,92.89,194.41,0.478,23593.0,254.0,518673.0,2668.0
2006,CA,06101,Sutter,90,APH,0.5,certified organic,1,3,0.0,1.93,0.0,0.0,662.0,107891.0,55862.0
2006,CA,06101,Sutter,90,APH,0.65,certified organic,2,2,1.47,51.48,0.029,249.0,169.0,562990.0,10936.0
2006,CA,06101,Sutter,90,APH,0.65,transitional organic,1,2,89.08,51.48,1.73,18975.0,213.0,562990.0,10936.0
2006,CA,06101,Sutter,90,APH,0.7,certified organic,1,2,0.0,106.06,0.0,0.0,141.0,468884.0,4421.0
2006,CA,06101,Sutter,90,APH,0.8,certified organic,1,2,0.0,130.39,0.0,0.0,22.0,83839.0,643.0
2006,CA,06101,Sutter,90,APH,0.85,certified organic,2,2,80.69,106.43,0.758,35666.0,442.0,364410.0,3424.0
2006,CA,06103,Tehama,90,APH,0.5,certified organic,1,1,34.92,0.0,,14247.0,408.0,0.0,925.0
2006,CA,06115,Yuba,44,CRC,0.85,certified organic,1,1,222.43,164.62,1.351,25802.0,116.0,28150.0,171.0
2006,TX,48039,Brazoria,90,APH,0.75,certified organic,1,2,0.0,10.03,0.0,0.0,120.0,37367.0,3727.0
2006,TX,48089,Colorado,90,APH,0.6,certified organic,1,2,0.0,0.0,,0.0,37.0,0.0,1291.0
2006,TX,48245,Jefferson,44,CRC,0.75,transitional organic,1,2,0.0,0.0,,0.0,90.0,0.0,2085.0
