crop_name,subtype,match_keys,org_loss_per_acre,conv_loss_per_acre,ratio_org_over_conv,org_indemnity,org_acres,conv_indemnity,conv_acres
All Other Commodities,certified organic,670,194.99,81.15,2.403,45147578.0,231541.0,235864344.0,2906593.0
Almonds,certified organic,242,218.65,89.88,2.433,32823712.0,150123.0,871169615.0,9693054.0
Apples,certified organic,456,475.85,223.17,2.132,125322948.0,263365.0,456027821.0,2043397.0
Avocados,certified organic,156,261.43,207.31,1.261,7965449.0,30469.0,88574584.0,427247.0
Barley,certified organic,766,61.95,27.76,2.232,16295189.0,263024.0,85076171.0,3064871.0
Blueberries,certified organic,192,464.95,660.96,0.703,15813712.0,34012.0,112960828.0,170904.0
Buckwheat,certified organic,26,40.26,21.54,1.869,2119635.0,52644.0,356277.0,16539.0
Canola,certified organic,28,233.3,32.74,7.126,3072329.0,13169.0,11763911.0,359304.0
Cherries,certified organic,255,1026.8,744.23,1.38,35337313.0,34415.0,625057356.0,839868.0
Corn,certified organic,9291,153.81,41.58,3.699,522835209.0,3399309.0,21949161733.0,527909127.0
Cotton,certified organic,377,298.38,150.35,1.985,126069857.0,422519.0,5764894961.0,38344264.0
Cotton Ex Long Staple,certified organic,48,465.34,137.66,3.38,12938190.0,27804.0,38315291.0,278331.0
Cultivated Wild Rice,certified organic,39,257.8,36.99,6.969,3813331.0,14792.0,2952497.0,79828.0
Dry Beans,certified organic,531,120.7,35.48,3.402,25240498.0,209109.0,101515602.0,2861004.0
Dry Peas,certified organic,333,90.16,41.59,2.168,20069638.0,222589.0,256444930.0,6166574.0
Early & Midseason Oranges,certified organic,9,89.63,49.43,1.813,10935.0,122.0,340058.0,6880.0
Figs,certified organic,26,84.16,46.56,1.808,975072.0,11586.0,1924804.0,41338.0
Flax,certified organic,10,153.46,19.75,7.77,274238.0,1787.0,103158.0,5222.0
Flue Cured Tobacco,certified organic,47,1582.05,834.27,1.896,2744865.0,1735.0,39006942.0,46756.0
Forage Production,certified organic,694,16.76,12.0,1.397,2664983.0,159054.0,43216490.0,3602712.0
Forage Seeding,certified organic,4,0.0,20.27,0.0,0.0,349.0,124950.0,6165.0
Fresh Apricots,certified organic,111,396.1,488.65,0.811,1647363.0,4159.0,9757876.0,19969.0
Fresh Freestone Peaches,certified organic,120,117.92,45.43,2.596,1921333.0,16293.0,9454884.0,208138.0
Fresh Market Sweet Corn,certified organic,6,1334.28,410.57,3.25,33357.0,25.0,901195.0,2195.0
Fresh Nectarines,certified organic,116,103.6,111.58,0.928,1331046.0,12848.0,19173823.0,171836.0
Grain Sorghum,certified organic,404,198.65,55.43,3.584,24839375.0,125041.0,299903336.0,5410720.0
Grapefruit,certified organic,98,160.97,149.05,1.08,1068981.0,6641.0,12391473.0,83136.0
Grapes,certified organic,326,64.29,74.35,0.865,7280414.0,113249.0,308083715.0,4143847.0
Green Peas,certified organic,281,182.47,63.37,2.879,18332655.0,100471.0,38469184.0,607058.0
Hemp,certified organic,6,116.16,35.32,3.289,239403.0,2061.0,116687.0,3304.0
Hybrid Corn Seed,certified organic,80,132.37,27.35,4.84,1340804.0,10129.0,6413103.0,234492.0
Hybrid Sorghum Seed,certified organic,13,241.32,15.32,15.752,370669.0,1536.0,370179.0,24167.0
Late Oranges,certified organic,1,0.0,0.0,,0.0,28.0,0.0,8.0
Lemons,certified organic,184,296.62,49.18,6.031,7291394.0,24582.0,22989525.0,467496.0
Macadamia Nuts,certified organic,8,551.81,103.45,5.334,2016880.0,3655.0,8708763.0,84186.0
Macadamia Trees,certified organic,2,0.0,0.0,,0.0,537.0,0.0,21341.0
Mandarins,certified organic,21,736.4,445.98,1.651,836548.0,1136.0,18159279.0,40718.0
Mandarins/Tangerines,certified organic,82,412.26,219.6,1.877,6477049.0,15711.0,102442802.0,466492.0
Millet,certified organic,202,25.38,26.17,0.97,3162706.0,124623.0,64674201.0,2471204.0
Minneola Tangelos,certified organic,14,273.82,71.21,3.845,181541.0,663.0,543319.0,7630.0
Mint,certified organic,1,0.0,0.0,,0.0,26.0,0.0,7.0
Mustard,certified organic,13,296.02,100.83,2.936,2915752.0,9850.0,25857267.0,256450.0
Navel Oranges,certified organic,33,277.33,95.25,2.912,1615199.0,5824.0,30676359.0,322051.0
Oats,certified organic,1452,41.25,20.57,2.005,10132746.0,245657.0,24458613.0,1189320.0
Onions,certified organic,53,498.39,590.77,0.844,2059857.0,4133.0,101092178.0,171120.0
