crop_name,year,subtype,match_keys,org_loss_per_acre,conv_loss_per_acre,ratio_org_over_conv,org_indemnity,org_acres,conv_indemnity,conv_acres
All Other Commodities,2006,certified organic,1,34.92,0.0,,14247.0,408.0,0.0,925.0
All Other Commodities,2008,certified organic,2,0.0,0.0,,0.0,1180.0,0.0,1792.0
All Other Commodities,2009,certified organic,2,0.0,12.8,0.0,0.0,540.0,42345.0,3308.0
All Other Commodities,2010,certified organic,1,0.0,2.79,0.0,0.0,504.0,6553.0,2348.0
All Other Commodities,2011,certified organic,27,12.45,58.35,0.213,40837.0,3280.0,355503.0,6093.0
All Other Commodities,2012,certified organic,42,61.44,47.89,1.283,564674.0,9191.0,10601911.0,221382.0
All Other Commodities,2013,certified organic,42,63.14,52.08,1.212,553519.0,8767.0,9951504.0,191089.0
All Other Commodities,2014,certified organic,40,125.69,54.44,2.309,1428961.0,11369.0,11254940.0,206743.0
All Other Commodities,2015,certified organic,45,121.83,87.1,1.399,1366084.0,11213.0,16608828.0,190694.0
All Other Commodities,2016,certified organic,49,91.81,84.09,1.092,1344282.0,14642.0,14714705.0,174991.0
All Other Commodities,2017,certified organic,48,111.68,46.76,2.388,1888560.0,16910.0,9992079.0,213684.0
All Other Commodities,2018,certified organic,56,84.41,84.06,1.004,1939381.0,22977.0,16689986.0,198543.0
All Other Commodities,2019,certified organic,59,117.26,71.74,1.635,2505095.0,21364.0,16651308.0,232121.0
All Other Commodities,2020,certified organic,54,294.64,93.16,3.163,7955096.0,26999.0,27652158.0,296831.0
All Other Commodities,2021,certified organic,56,377.4,104.03,3.628,8782007.0,23270.0,31688432.0,304616.0
All Other Commodities,2022,certified organic,53,435.94,130.95,3.329,10707166.0,24561.0,34547848.0,263820.0
All Other Commodities,2023,certified organic,55,297.66,115.81,2.57,6041008.0,20295.0,35101736.0,303106.0
All Other Commodities,2024,certified organic,17,3.41,0.0,,16661.0,4879.0,0.0,37235.0
All Other Commodities,2025,certified organic,21,0.0,0.08,0.0,0.0,9192.0,4508.0,57272.0
Almonds,2011,certified organic,15,18.39,3.09,5.951,55597.0,3024.0,1206011.0,390873.0
Almonds,2012,certified organic,14,5.98,9.3,0.643,24828.0,4154.0,4594588.0,493886.0
Almonds,2013,certified organic,14,15.08,6.71,2.247,80618.0,5347.0,3463223.0,516015.0
Almonds,2014,certified organic,14,197.66,60.11,3.288,1053538.0,5330.0,34029886.0,566160.0
Almonds,2015,certified organic,12,64.24,122.6,0.524,344563.0,5364.0,57258538.0,467024.0
