ers_region,subtype,match_keys,org_loss_per_acre,conv_loss_per_acre,ratio_org_over_conv,org_indemnity,org_acres,conv_indemnity,conv_acres
Basin and Range,certified organic,999,187.38,70.49,2.658,170327117.0,908999.0,403312103.0,5721906.0
Eastern Uplands,certified organic,153,181.97,54.69,3.327,5024922.0,27614.0,103636663.0,1894854.0
Fruitful Rim,certified organic,5290,224.38,93.96,2.388,492024036.0,2192798.0,4607694655.0,49038966.0
Heartland,certified organic,9050,104.18,31.53,3.304,228642266.0,2194614.0,16321318239.0,517580734.0
Mississippi Portal,certified organic,178,233.68,44.06,5.304,14078347.0,60246.0,99700507.0,2262656.0
Northern Crescent,certified organic,6156,96.9,33.42,2.899,128215271.0,1323116.0,3452239771.0,103286469.0
Northern Great Plains,certified organic,3289,104.85,36.61,2.864,167094741.0,1593605.0,5497300732.0,150139363.0
Prairie Gateway,certified organic,3276,222.03,69.55,3.192,487909925.0,2197465.0,10894227647.0,156639621.0
Southern Seaboard,certified organic,1503,97.94,32.72,2.993,29993595.0,306257.0,402447566.0,12298603.0
,certified organic,679,200.07,66.76,2.997,48441382.0,242120.0,267540748.0,4007672.0
Basin and Range,transitional organic,105,90.25,101.28,0.891,1576281.0,17466.0,41434214.0,409106.0
Eastern Uplands,transitional organic,27,44.77,26.64,1.681,57210.0,1278.0,6672358.0,250460.0
Fruitful Rim,transitional organic,1155,192.87,121.8,1.583,30869790.0,160053.0,1808712253.0,14849860.0
Heartland,transitional organic,1915,26.0,23.82,1.092,6669124.0,256491.0,3423735880.0,143757389.0
Mississippi Portal,transitional organic,35,144.47,64.22,2.25,789365.0,5464.0,48239126.0,751096.0
Northern Crescent,transitional organic,904,42.06,33.46,1.257,3501465.0,83246.0,800207947.0,23918676.0
Northern Great Plains,transitional organic,370,36.91,28.81,1.281,2766760.0,74969.0,573211179.0,19893149.0
Prairie Gateway,transitional organic,594,100.47,83.05,1.21,15388427.0,153172.0,3726036024.0,44863726.0
Southern Seaboard,transitional organic,192,16.39,25.75,0.637,317677.0,19386.0,66197488.0,2570663.0
,transitional organic,95,47.96,76.96,0.623,630476.0,13146.0,58729983.0,763119.0
