ers_region,period,subtype,match_keys,org_loss_per_acre,conv_loss_per_acre,ratio_org_over_conv,org_indemnity,org_acres,conv_indemnity,conv_acres
Basin and Range,2006,certified organic,2,87.91,208.11,0.422,200785.0,2284.0,1006398.0,4836.0
Basin and Range,2007,certified organic,2,42.74,184.69,0.231,123391.0,2887.0,758354.0,4106.0
Basin and Range,2008,certified organic,2,0.0,51.11,0.0,0.0,2146.0,202453.0,3961.0
Basin and Range,2009,certified organic,2,10.31,0.0,,18970.0,1840.0,0.0,7053.0
Basin and Range,2010,certified organic,3,0.0,45.54,0.0,0.0,2339.0,347877.0,7639.0
Basin and Range,2011-14,certified organic,273,78.82,51.73,1.524,14429116.0,183070.0,97386165.0,1882681.0
Basin and Range,2015-18,certified organic,314,127.89,43.25,2.957,31139097.0,243474.0,76991159.0,1780331.0
Basin and Range,2019-23,certified organic,354,302.84,120.35,2.516,124259536.0,410317.0,226530985.0,1882270.0
Basin and Range,2024,certified organic,23,0.0,0.0,,0.0,26165.0,0.0,99603.0
Basin and Range,2025,certified organic,24,4.53,1.79,2.531,156222.0,34477.0,88712.0,49426.0
Eastern Uplands,2011-14,certified organic,24,169.9,133.51,1.273,428158.0,2520.0,48769772.0,365283.0
Eastern Uplands,2015-18,certified organic,46,170.18,25.38,6.705,679681.0,3994.0,13740102.0,541395.0
Eastern Uplands,2019-23,certified organic,75,228.44,48.84,4.677,3849186.0,16850.0,40729267.0,833863.0
Eastern Uplands,2024,certified organic,5,0.0,0.19,0.0,0.0,1976.0,15148.0,79046.0
Eastern Uplands,2025,certified organic,3,29.86,5.08,5.878,67897.0,2274.0,382374.0,75267.0
Fruitful Rim,2006,certified organic,22,22.3,16.05,1.389,215017.0,9643.0,6685717.0,416496.0
Fruitful Rim,2007,certified organic,17,5.5,7.52,0.731,78171.0,14221.0,2900758.0,385637.0
Fruitful Rim,2008,certified organic,23,19.25,5.49,3.506,271024.0,14079.0,2269626.0,413780.0
Fruitful Rim,2009,certified organic,23,19.31,12.58,1.535,238246.0,12341.0,6156329.0,489565.0
Fruitful Rim,2010,certified organic,21,8.37,5.94,1.409,140930.0,16835.0,2673689.0,450191.0
Fruitful Rim,2011-14,certified organic,1300,101.59,55.07,1.845,39508905.0,388888.0,620883711.0,11274006.0
Fruitful Rim,2015-18,certified organic,1469,180.91,71.89,2.516,106640323.0,589454.0,945365064.0,13150090.0
Fruitful Rim,2019-23,certified organic,1901,370.43,164.2,2.256,343947531.0,928499.0,3011497784.0,18340768.0
Fruitful Rim,2024,certified organic,235,3.28,1.28,2.562,307838.0,93957.0,2194210.0,1716259.0
Fruitful Rim,2025,certified organic,279,5.41,2.94,1.84,676051.0,124881.0,7067767.0,2402174.0
Heartland,2008,certified organic,1,0.0,0.0,,0.0,34.0,0.0,27907.0
Heartland,2011-14,certified organic,2139,171.21,66.21,2.586,59549918.0,347810.0,8334173612.0,125873113.0
Heartland,2015-18,certified organic,2652,69.85,10.18,6.861,36643162.0,524577.0,1608947665.0,158033189.0
Heartland,2019-23,certified organic,4047,102.91,27.38,3.759,132407361.0,1286632.0,6377475662.0,232899399.0
Heartland,2024,certified organic,108,0.0,0.18,0.0,0.0,17702.0,64156.0,358257.0
Heartland,2025,certified organic,103,2.34,1.69,1.385,41825.0,17859.0,657144.0,388869.0
Mississippi Portal,2006,certified organic,1,0.0,0.0,,0.0,357.0,0.0,5401.0
Mississippi Portal,2008,certified organic,1,0.0,0.48,0.0,0.0,46.0,15899.0,32889.0
Mississippi Portal,2009,certified organic,4,0.0,3.0,0.0,0.0,211.0,359938.0,119787.0
Mississippi Portal,2010,certified organic,3,0.0,12.34,0.0,0.0,291.0,1070661.0,86746.0
Mississippi Portal,2011-14,certified organic,11,213.89,43.79,4.884,232708.0,1088.0,2649649.0,60514.0
Mississippi Portal,2015-18,certified organic,53,155.76,43.85,3.552,3387835.0,21751.0,24910634.0,568044.0
Mississippi Portal,2019-23,certified organic,101,296.26,52.47,5.646,10399362.0,35102.0,70598336.0,1345407.0
Mississippi Portal,2024,certified organic,1,0.0,0.0,,0.0,517.0,0.0,31509.0
Mississippi Portal,2025,certified organic,3,66.19,7.72,8.574,58442.0,883.0,95390.0,12359.0
Northern Crescent,2011-14,certified organic,1574,120.65,62.97,1.916,29853782.0,247443.0,1626337236.0,25826647.0
Northern Crescent,2015-18,certified organic,1863,72.74,16.06,4.529,27225234.0,374303.0,504832867.0,31439369.0
Northern Crescent,2019-23,certified organic,2557,104.97,29.09,3.608,71103573.0,677351.0,1319653722.0,45369978.0
Northern Crescent,2024,certified organic,77,2.81,4.36,0.644,32682.0,11626.0,1212516.0,277869.0
Northern Crescent,2025,certified organic,85,0.0,0.55,0.0,0.0,12393.0,203430.0,372606.0
Northern Great Plains,2011-14,certified organic,796,89.61,34.56,2.593,22788679.0,254320.0,1155750430.0,33438455.0
Northern Great Plains,2015-18,certified organic,973,61.06,15.21,4.014,23666584.0,387587.0,654713654.0,43056281.0
Northern Great Plains,2019-23,certified organic,1466,129.06,50.56,2.553,120113585.0,930672.0,3686130511.0,72901327.0
Northern Great Plains,2024,certified organic,26,0.0,0.0,,0.0,12249.0,0.0,295607.0
Northern Great Plains,2025,certified organic,28,59.92,1.58,37.924,525893.0,8777.0,706137.0,447693.0
Prairie Gateway,2006,certified organic,1,0.0,0.0,,0.0,37.0,0.0,7385.0
Prairie Gateway,2007,certified organic,1,0.0,0.89,0.0,0.0,130.0,13067.0,14760.0
Prairie Gateway,2008,certified organic,2,0.0,2.62,0.0,0.0,582.0,29054.0,11075.0
Prairie Gateway,2009,certified organic,3,0.0,0.83,0.0,0.0,1644.0,16616.0,20024.0
Prairie Gateway,2010,certified organic,3,0.0,9.33,0.0,0.0,1672.0,186464.0,19988.0
Prairie Gateway,2011-14,certified organic,618,131.63,84.92,1.55,32072296.0,243652.0,2645105321.0,31149089.0
Prairie Gateway,2015-18,certified organic,964,127.19,35.88,3.545,73803469.0,580282.0,1607183033.0,44790497.0
Prairie Gateway,2019-23,certified organic,1561,297.46,89.07,3.34,382004526.0,1284200.0,6637909236.0,74525241.0
Prairie Gateway,2024,certified organic,59,0.0,0.02,0.0,0.0,38730.0,49587.0,3132084.0
Prairie Gateway,2025,certified organic,64,0.64,1.26,0.508,29634.0,46536.0,3735269.0,2969478.0
Southern Seaboard,2011-14,certified organic,171,55.57,25.88,2.147,1055765.0,18998.0,38953734.0,1505006.0
Southern Seaboard,2015-18,certified organic,419,87.27,32.48,2.687,4920586.0,56381.0,116510890.0,3587628.0
Southern Seaboard,2019-23,certified organic,851,108.57,34.8,3.12,24004066.0,221099.0,246966321.0,7096277.0
Southern Seaboard,2024,certified organic,33,0.0,0.0,,0.0,5073.0,0.0,56274.0
Southern Seaboard,2025,certified organic,29,2.8,0.31,9.032,13178.0,4706.0,16621.0,53418.0
,2008,certified organic,1,0.0,0.0,,0.0,950.0,0.0,387.0
,2009,certified organic,1,0.0,16.19,0.0,0.0,460.0,42345.0,2615.0
,2010,certified organic,1,0.0,2.79,0.0,0.0,504.0,6553.0,2348.0
,2011-14,certified organic,149,87.48,33.38,2.621,3128439.0,35760.0,53751887.0,1610378.0
,2015-18,certified organic,201,98.16,71.63,1.37,6538307.0,66607.0,58005598.0,809770.0
,2019-23,certified organic,286,313.88,106.3,2.953,38757975.0,123480.0,155718983.0,1464886.0
,2024,certified organic,18,3.41,0.0,,16661.0,4882.0,0.0,48638.0
,2025,certified organic,22,0.0,0.22,0.0,0.0,9477.0,15382.0,68650.0
Basin and Range,2011-14,transitional organic,25,128.47,109.3,1.175,494613.0,3850.0,16589110.0,151773.0
Basin and Range,2015-18,transitional organic,39,7.65,30.78,0.249,49852.0,6517.0,3485343.0,113247.0
Basin and Range,2019-23,transitional organic,31,155.91,169.6,0.919,1031816.0,6618.0,21293570.0,125550.0
Basin and Range,2024,transitional organic,6,0.0,0.0,,0.0,268.0,0.0,9731.0
Basin and Range,2025,transitional organic,4,0.0,7.52,0.0,0.0,213.0,66191.0,8805.0
Eastern Uplands,2015-18,transitional organic,7,1.42,34.32,0.041,255.0,179.0,1542095.0,44927.0
Eastern Uplands,2019-23,transitional organic,17,94.61,28.61,3.307,56955.0,602.0,5013231.0,175241.0
