year,subtype,match_keys,org_loss_per_acre,conv_loss_per_acre,ratio_org_over_conv,org_indemnity,org_acres,conv_indemnity,conv_acres
2006,certified organic,26,33.75,17.72,1.905,415802.0,12321.0,7692115.0,434118.0
2007,certified organic,20,11.69,9.08,1.287,201562.0,17238.0,3672179.0,404503.0
2008,certified organic,30,15.19,5.14,2.955,271024.0,17837.0,2517032.0,489999.0
2009,certified organic,33,15.59,10.29,1.515,257216.0,16496.0,6575228.0,639044.0
2010,certified organic,31,6.51,7.56,0.861,140930.0,21641.0,4285244.0,566912.0
2011,certified organic,1642,97.21,35.23,2.759,36438534.0,374830.0,1766134810.0,50132131.0
2012,certified organic,1739,110.46,85.43,1.293,46292703.0,419094.0,4807618839.0,56275724.0
2013,certified organic,1806,133.11,71.12,1.872,60195230.0,452214.0,4386673880.0,61680140.0
2014,certified organic,1868,125.93,56.45,2.231,60121299.0,477411.0,3663333988.0,64897177.0
2015,certified organic,2041,90.1,19.31,4.666,51143408.0,567654.0,1342968824.0,69552791.0
2016,certified organic,2205,92.73,11.54,8.036,60877735.0,656520.0,841631310.0,72916063.0
2017,certified organic,2295,135.07,18.47,7.313,102974108.0,762399.0,1392400059.0,75404009.0
2018,certified organic,2413,115.62,25.46,4.541,99649027.0,861837.0,2034200473.0,79883731.0
2019,certified organic,2540,148.51,43.94,3.38,146006062.0,983168.0,3730079784.0,84896092.0
2020,certified organic,2643,157.94,32.59,4.846,178113075.0,1127756.0,2892576536.0,88759837.0
2021,certified organic,2646,186.25,27.31,6.82,222901052.0,1196770.0,2524920457.0,92453443.0
2022,certified organic,2659,300.72,70.61,4.259,382108803.0,1270626.0,6650287089.0,94181575.0
2023,certified organic,2711,240.83,62.01,3.884,321717709.0,1335882.0,5975346941.0,96368469.0
2024,certified organic,585,1.68,0.58,2.897,357181.0,212877.0,3535617.0,6095146.0
2025,certified organic,640,5.98,1.9,3.147,1569142.0,262263.0,12968226.0,6839940.0
2006,transitional organic,5,37.12,34.7,1.07,28732.0,774.0,3591767.0,103507.0
2007,transitional organic,14,31.87,9.2,3.464,81777.0,2566.0,2056870.0,223458.0
2008,transitional organic,10,9.95,3.03,3.284,28663.0,2880.0,454928.0,149999.0
2009,transitional organic,9,16.11,9.99,1.613,52595.0,3264.0,1438206.0,143967.0
2010,transitional organic,11,48.25,17.54,2.751,121880.0,2526.0,1703035.0,97071.0
2011,transitional organic,240,80.08,47.99,1.669,1721103.0,21493.0,451550718.0,9409684.0
2012,transitional organic,224,80.24,85.16,0.942,1526563.0,19024.0,734703496.0,8627158.0
2013,transitional organic,229,98.39,86.98,1.131,2115649.0,21502.0,929657290.0,10688601.0
2014,transitional organic,248,101.25,70.64,1.433,2895978.0,28603.0,883429090.0,12505983.0
2015,transitional organic,316,41.42,24.59,1.684,1631342.0,39385.0,404141591.0,16437986.0
2016,transitional organic,461,77.36,10.34,7.482,6229890.0,80536.0,238407941.0,23064841.0
2017,transitional organic,501,57.05,16.94,3.368,4213075.0,73845.0,393782946.0,23241013.0
2018,transitional organic,501,58.07,27.77,2.091,4181450.0,72007.0,636483452.0,22922101.0
2019,transitional organic,525,82.96,42.99,1.93,6807285.0,82058.0,1081118669.0,25145588.0
2020,transitional organic,539,61.01,32.84,1.858,5505734.0,90248.0,889557875.0,27090094.0
2021,transitional organic,481,84.41,24.5,3.445,7046354.0,83473.0,600933964.0,24530633.0
2022,transitional organic,437,163.9,76.21,2.151,11092073.0,67677.0,1780803461.0,23367888.0
2023,transitional organic,408,117.06,73.18,1.6,7175435.0,61298.0,1514622043.0,20696023.0
2024,transitional organic,118,8.47,1.12,7.562,110997.0,13106.0,1990775.0,1778708.0
2025,transitional organic,115,0.0,1.52,0.0,0.0,18406.0,2748335.0,1802941.0
