match_key,year,state,fips,county,crop_name,ers_region,period,plan_code,plan,cov_type,organic_subtype,conv_records,conv_acres,conv_indemnity,conv_loss_per_acre,org_records,org_acres,org_indemnity,org_loss_per_acre
2006|06103|9999|90|C,2006,CA,06103,Tehama,All Other Commodities,Fruitful Rim,2006,90,APH,C,certified organic,1,925.0,0.0,0.0,1,408.0,14247.0,34.9191
2008|48999|9999|90|C,2008,TX,48999,All Other Counties,All Other Commodities,,2008,90,NULL,C,certified organic,1,387.0,0.0,0.0,1,950.0,0.0,0.0
2008|06103|9999|90|C,2008,CA,06103,Tehama,All Other Commodities,Fruitful Rim,2008,90,NULL,C,certified organic,1,1405.0,0.0,0.0,1,230.0,0.0,0.0
2009|48999|9999|90|C,2009,TX,48999,All Other Counties,All Other Commodities,,2009,90,NULL,C,certified organic,2,2615.0,42345.0,16.1931,1,460.0,0.0,0.0
2009|06103|9999|90|A,2009,CA,06103,Tehama,All Other Commodities,Fruitful Rim,2009,90,NULL,A,certified organic,4,693.0,0.0,0.0,1,80.0,0.0,0.0
2010|48999|9999|90|C,2010,TX,48999,All Other Counties,All Other Commodities,,2010,90,NULL,C,certified organic,3,2348.0,6553.0,2.7909,1,504.0,0.0,0.0
2011|41999|9999|90|C,2011,OR,41999,All Other Counties,All Other Commodities,,2011-14,90,APH,C,certified organic,1,22.0,0.0,0.0,1,19.0,0.0,0.0
2011|48999|9999|01|C,2011,TX,48999,All Other Counties,All Other Commodities,,2011-14,01,YP,C,certified organic,2,515.0,0.0,0.0,1,314.0,0.0,0.0
2011|53999|9999|90|A,2011,WA,53999,All Other Counties,All Other Commodities,,2011-14,90,APH,A,certified organic,6,157.0,8685.0,55.3185,1,4.0,0.0,0.0
2011|08033|9999|01|A,2011,CO,08033,Dolores,All Other Commodities,Basin and Range,2011-14,01,YP,A,certified organic,1,102.0,0.0,0.0,1,89.0,0.0,0.0
2011|41049|9999|90|A,2011,OR,41049,Morrow,All Other Commodities,Basin and Range,2011-14,90,APH,A,certified organic,1,260.0,0.0,0.0,3,24.0,0.0,0.0
2011|06013|9999|90|A,2011,CA,06013,Contra Costa,All Other Commodities,Fruitful Rim,2011-14,90,APH,A,certified organic,4,59.0,32686.0,554.0,2,35.0,0.0,0.0
2011|06019|9999|90|A,2011,CA,06019,Fresno,All Other Commodities,Fruitful Rim,2011-14,90,APH,A,certified organic,2,46.0,64282.0,1397.4348,2,83.0,0.0,0.0
2011|06077|9999|90|A,2011,CA,06077,San Joaquin,All Other Commodities,Fruitful Rim,2011-14,90,APH,A,certified organic,1,92.0,0.0,0.0,7,60.0,31325.0,522.0833
2011|06079|9999|90|C,2011,CA,06079,San Luis Obispo,All Other Commodities,Fruitful Rim,2011-14,90,APH,C,certified organic,2,166.0,0.0,0.0,1,104.0,0.0,0.0
2011|06095|9999|90|A,2011,CA,06095,Solano,All Other Commodities,Fruitful Rim,2011-14,90,APH,A,transitional organic,2,34.0,2366.0,69.5882,1,30.0,11507.0,383.5667
2011|06113|9999|90|C,2011,CA,06113,Yolo,All Other Commodities,Fruitful Rim,2011-14,90,APH,C,certified organic,2,154.0,0.0,0.0,2,49.0,0.0,0.0
2011|06115|9999|90|A,2011,CA,06115,Yuba,All Other Commodities,Fruitful Rim,2011-14,90,APH,A,certified organic,2,16.0,5640.0,352.5,1,14.0,0.0,0.0
2011|41005|9999|90|C,2011,OR,41005,Clackamas,All Other Commodities,Fruitful Rim,2011-14,90,APH,C,certified organic,1,208.0,0.0,0.0,1,21.0,0.0,0.0
2011|41043|9999|90|A,2011,OR,41043,Linn,All Other Commodities,Fruitful Rim,2011-14,90,APH,A,certified organic,1,160.0,0.0,0.0,1,2.0,0.0,0.0
2011|41051|9999|01|C,2011,OR,41051,Multnomah,All Other Commodities,Fruitful Rim,2011-14,01,YP,C,certified organic,1,24.0,0.0,0.0,1,74.0,0.0,0.0
2011|41071|9999|01|C,2011,OR,41071,Yamhill,All Other Commodities,Fruitful Rim,2011-14,01,YP,C,certified organic,2,269.0,0.0,0.0,1,36.0,0.0,0.0
2011|41071|9999|90|C,2011,OR,41071,Yamhill,All Other Commodities,Fruitful Rim,2011-14,90,APH,C,certified organic,4,688.0,0.0,0.0,2,41.0,0.0,0.0
2011|53005|9999|90|A,2011,WA,53005,Benton,All Other Commodities,Fruitful Rim,2011-14,90,APH,A,certified organic,4,1918.0,6658.0,3.4713,2,1319.0,0.0,0.0
2011|53017|9999|90|C,2011,WA,53017,Douglas,All Other Commodities,Fruitful Rim,2011-14,90,APH,C,certified organic,1,28.0,0.0,0.0,1,10.0,0.0,0.0
