match_key,year,state_abbr,fips,county_name,crop_name,plan_abbr,cov_category,conv_records,conv_premium,conv_indemnity,conv_loss_ratio,org_records,org_premium,org_indemnity,org_loss_ratio
2011|08123|0041|02|A,2011,CO,08123,Weld,Corn,RP,Buy-up,12.0,4197567.0,494628.0,0.11783683262232622,2.0,23083.0,63073.0,2.732443789802019
2011|19013|0041|02|A,2011,IA,19013,Black Hawk,Corn,RP,Buy-up,7.0,4435190.0,233714.0,0.05269537494447814,1.0,9460.0,31682.0,3.349048625792812
2011|19021|0041|02|A,2011,IA,19021,Buena Vista,Corn,RP,Buy-up,6.0,3824405.0,203092.0,0.05310420836705317,1.0,12372.0,53796.0,4.348205625606208
2011|19031|0041|02|A,2011,IA,19031,Cedar,Corn,RP,Buy-up,6.0,4356965.0,243436.0,0.05587283808798097,1.0,4396.0,15252.0,3.469517743403094
2011|19033|0041|02|A,2011,IA,19033,Cerro Gordo,Corn,RP,Buy-up,9.0,9153740.0,1542994.0,0.1685643245274609,1.0,5139.0,20827.0,4.05273399494065
2011|19033|0041|01|A,2011,IA,19033,Cerro Gordo,Corn,YP,Buy-up,1.0,5648.0,12771.0,2.2611543909348444,1.0,9370.0,38818.0,4.142796157950907
2011|19035|0041|02|A,2011,IA,19035,Cherokee,Corn,RP,Buy-up,8.0,3896890.0,493623.0,0.126671012012143,1.0,17354.0,153982.0,8.87299757980869
2011|19037|0041|02|A,2011,IA,19037,Chickasaw,Corn,RP,Buy-up,5.0,2171750.0,48118.0,0.022156325543916198,1.0,5570.0,22657.0,4.067684021543986
2011|19049|0041|02|A,2011,IA,19049,Dallas,Corn,RP,Buy-up,7.0,3767403.0,599912.0,0.15923754374034316,1.0,14850.0,42581.0,2.8674074074074074
2011|19051|0041|02|A,2011,IA,19051,Davis,Corn,RP,Buy-up,13.0,2606411.0,5043260.0,1.9349442585992769,7.0,144838.0,696139.0,4.806328449716235
2011|19061|0041|02|A,2011,IA,19061,Dubuque,Corn,RP,Buy-up,9.0,6592440.0,950726.0,0.14421458519152242,1.0,7639.0,23272.0,3.046472051315617
2011|19069|0041|01|A,2011,IA,19069,Franklin,Corn,YP,Buy-up,2.0,24254.0,45383.0,1.871155273356972,2.0,34346.0,97617.0,2.8421650264950795
2011|19073|0041|02|A,2011,IA,19073,Greene,Corn,RP,Buy-up,2.0,985256.0,10357.0,0.010511988762311521,1.0,9262.0,60599.0,6.542755344418052
2011|19075|0041|02|A,2011,IA,19075,Grundy,Corn,RP,Buy-up,2.0,583326.0,7722.0,0.013237880704786003,1.0,15972.0,117300.0,7.344102178812923
2011|19079|0041|02|A,2011,IA,19079,Hamilton,Corn,RP,Buy-up,6.0,4982371.0,215295.0,0.04321135459402762,1.0,2540.0,14843.0,5.843700787401575
